model-1578259329,1578259360.683,0.125, 0.0706, 0.214, 0.0685, 0
model-1578259329,1578259398.478,0.125, 0.0731, 0.268, 0.0628, 0
model-1578259329,1578259433.524,0.375, 0.0607, 0.457, 0.0512, 0
model-1578259329,1578259465.723,0.562, 0.0492, 0.582, 0.0422, 0
model-1578259329,1578259498.195,0.625, 0.0389, 0.601, 0.0396, 0
model-1578259329,1578259530.047,0.75, 0.0285, 0.704, 0.0327, 0
model-1578259329,1578259565.751,0.688, 0.0374, 0.757, 0.0277, 0
model-1578259329,1578259603.134,0.688, 0.0307, 0.741, 0.0289, 0
model-1578259329,1578259646.345,0.812, 0.0242, 0.809, 0.0224, 1
model-1578259329,1578259671.78,0.812, 0.0237, 0.823, 0.0202, 1
model-1578259329,1578259698.22,0.875, 0.0169, 0.794, 0.0234, 1
model-1578259329,1578259724.288,0.812, 0.0203, 0.833, 0.0186, 1
model-1578259329,1578259750.416,0.938, 0.0088, 0.827, 0.0189, 1
model-1578259329,1578259776.67,0.875, 0.011, 0.859, 0.0162, 1
model-1578259329,1578259802.545,0.875, 0.0182, 0.846, 0.0177, 1
model-1578259329,1578259828.867,0.875, 0.0171, 0.847, 0.0178, 1
model-1578259329,1578259863.77,0.938, 0.0072, 0.87, 0.0155, 2
model-1578259329,1578259889.336,0.75, 0.0186, 0.869, 0.0152, 2
model-1578259329,1578259914.957,0.938, 0.0086, 0.88, 0.015, 2
model-1578259329,1578259941.006,0.875, 0.0116, 0.887, 0.0138, 2
model-1578259329,1578259966.855,0.75, 0.0263, 0.881, 0.0142, 2
model-1578259329,1578259992.267,0.938, 0.0127, 0.872, 0.0148, 2
model-1578259329,1578260017.755,0.875, 0.0092, 0.87, 0.0151, 2
model-1578259329,1578260043.239,0.812, 0.0239, 0.892, 0.0134, 2
model-1578259329,1578260077.317,0.938, 0.0103, 0.905, 0.0116, 3
model-1578259329,1578260103.352,0.938, 0.0045, 0.903, 0.0115, 3
model-1578259329,1578260129.318,0.938, 0.0091, 0.884, 0.0136, 3
model-1578259329,1578260155.69,0.938, 0.0077, 0.926, 0.0093, 3
model-1578259329,1578260181.131,0.875, 0.0093, 0.904, 0.0119, 3
model-1578259329,1578260206.71,0.938, 0.008, 0.912, 0.01, 3
model-1578259329,1578260232.378,1.0, 0.0018, 0.908, 0.0105, 3
model-1578259329,1578260258.498,0.875, 0.015, 0.921, 0.0097, 3
model-1578259329,1578260293.872,0.875, 0.0202, 0.908, 0.0103, 4
model-1578259329,1578260319.938,1.0, 0.0002, 0.908, 0.0111, 4
model-1578259329,1578260346.146,0.875, 0.0141, 0.906, 0.0118, 4
model-1578259329,1578260372.25,0.938, 0.0112, 0.919, 0.01, 4
model-1578259329,1578260398.263,0.875, 0.0182, 0.886, 0.0133, 4
