model-1578253524,1578253574.45,0.167, 0.0697, 0.184, 0.0678, 0
model-1578253524,1578253624.604,0.467, 0.055, 0.456, 0.0519, 0
model-1578253524,1578253677.036,0.533, 0.0434, 0.628, 0.0389, 0
model-1578253524,1578253734.918,0.667, 0.0352, 0.706, 0.0313, 0
model-1578253524,1578253802.342,0.667, 0.0381, 0.731, 0.0299, 0
model-1578253524,1578253881.696,0.767, 0.0305, 0.8, 0.0239, 0
model-1578253524,1578253964.487,0.7, 0.0302, 0.823, 0.0216, 0
model-1578253524,1578254051.304,0.7, 0.0326, 0.839, 0.0194, 0
model-1578253524,1578254132.792,0.667, 0.0328, 0.808, 0.0222, 0
model-1578253524,1578254168.016,0.867, 0.0219, 0.842, 0.0181, 1
model-1578253524,1578254203.204,0.9, 0.0117, 0.86, 0.0168, 1
model-1578253524,1578254239.285,0.867, 0.0098, 0.877, 0.0152, 1
model-1578253524,1578254278.191,0.8, 0.0269, 0.851, 0.0174, 1
model-1578253524,1578254319.038,0.833, 0.0219, 0.904, 0.0123, 1
model-1578253524,1578254362.902,0.733, 0.0261, 0.893, 0.0138, 1
model-1578253524,1578254414.564,0.867, 0.014, 0.875, 0.0146, 1
model-1578253524,1578254478.59,0.9, 0.0143, 0.877, 0.0139, 1
model-1578253524,1578254556.908,0.867, 0.0171, 0.893, 0.0125, 1
model-1578253524,1578254587.79,0.9, 0.0105, 0.908, 0.0115, 2
model-1578253524,1578254617.435,0.8, 0.0192, 0.915, 0.0109, 2
model-1578253524,1578254648.096,0.833, 0.0162, 0.889, 0.0125, 2
model-1578253524,1578254679.666,0.933, 0.005, 0.904, 0.011, 2
model-1578253524,1578254713.203,0.967, 0.0085, 0.914, 0.0105, 2
model-1578253524,1578254752.729,0.9, 0.0107, 0.904, 0.0112, 2
model-1578253524,1578254797.808,0.9, 0.0138, 0.918, 0.0093, 2
model-1578253524,1578254851.662,0.867, 0.019, 0.91, 0.0109, 2
model-1578253524,1578254929.861,0.767, 0.0239, 0.94, 0.0079, 2
model-1578253524,1578254964.733,0.733, 0.0311, 0.904, 0.0114, 3
model-1578253524,1578254998.506,0.9, 0.011, 0.9, 0.0117, 3
model-1578253524,1578255032.471,0.833, 0.0181, 0.92, 0.0097, 3
model-1578253524,1578255066.555,0.867, 0.0144, 0.912, 0.0103, 3
model-1578253524,1578255104.639,0.9, 0.0125, 0.914, 0.0103, 3
model-1578253524,1578255154.045,0.833, 0.0147, 0.93, 0.0088, 3
model-1578253524,1578255213.697,0.967, 0.0051, 0.929, 0.0087, 3
model-1578253524,1578255283.078,1.0, 0.0025, 0.916, 0.0095, 3
model-1578253524,1578255366.305,0.9, 0.0101, 0.925, 0.0088, 3
model-1578253524,1578255400.46,0.933, 0.0159, 0.925, 0.0086, 4
model-1578253524,1578255434.436,0.833, 0.018, 0.941, 0.0069, 4
model-1578253524,1578255469.164,0.867, 0.0167, 0.927, 0.0084, 4
model-1578253524,1578255504.71,0.867, 0.0152, 0.936, 0.0078, 4
model-1578253524,1578255543.942,0.9, 0.0115, 0.96, 0.0056, 4
model-1578253524,1578255586.999,0.9, 0.0078, 0.95, 0.006, 4
model-1578253524,1578255636.217,0.9, 0.0141, 0.945, 0.0064, 4
model-1578253524,1578255702.135,0.967, 0.006, 0.944, 0.0067, 4
model-1578253524,1578255783.503,0.933, 0.0095, 0.953, 0.0063, 4
