model-1578004336,1578004361.949,0.667, 0.0324, 0.713, 0.033, 0
model-1578004336,1578004393.711,0.933, 0.0098, 0.898, 0.0165, 1
model-1578004336,1578004436.773,0.867, 0.014, 0.894, 0.0163, 2
model-1578004336,1578004470.872,1.0, 0.0001, 0.925, 0.0131, 3
model-1578004336,1578004502.356,1.0, 0.0011, 0.967, 0.0084, 4
model-1578004336,1578004534.983,1.0, 0.0, 0.996, 0.0049, 5
model-1578004336,1578004569.006,1.0, 0.0, 0.963, 0.0089, 6
model-1578004336,1578004602.635,0.933, 0.0062, 0.996, 0.0048, 7
model-1578004336,1578004639.638,1.0, 0.0006, 0.958, 0.0087, 8
model-1578004336,1578004674.028,1.0, 0.0, 0.967, 0.0077, 9
