model-1578255966,1578255998.838,0.188, 0.0697, 0.191, 0.0677, 0
model-1578255966,1578256031.469,0.25, 0.0678, 0.342, 0.0593, 0
model-1578255966,1578256064.253,0.438, 0.0549, 0.502, 0.0509, 0
model-1578255966,1578256097.688,0.5, 0.0421, 0.547, 0.0441, 0
model-1578255966,1578256132.268,0.312, 0.0654, 0.643, 0.036, 0
model-1578255966,1578256171.182,0.75, 0.0349, 0.717, 0.0305, 0
model-1578255966,1578256215.678,0.625, 0.0315, 0.738, 0.028, 0
model-1578255966,1578256274.629,0.75, 0.0244, 0.74, 0.0283, 0
model-1578255966,1578256330.874,0.625, 0.0428, 0.814, 0.0233, 1
model-1578255966,1578256357.994,0.75, 0.026, 0.791, 0.025, 1
model-1578255966,1578256384.562,0.562, 0.0532, 0.797, 0.0229, 1
model-1578255966,1578256411.021,0.625, 0.0433, 0.844, 0.0197, 1
model-1578255966,1578256437.655,0.812, 0.0235, 0.854, 0.0192, 1
model-1578255966,1578256464.09,0.812, 0.0275, 0.848, 0.019, 1
model-1578255966,1578256490.246,0.75, 0.0304, 0.838, 0.0183, 1
model-1578255966,1578256517.229,0.875, 0.0256, 0.883, 0.0154, 1
model-1578255966,1578256553.981,0.938, 0.017, 0.867, 0.0157, 2
model-1578255966,1578256579.795,0.75, 0.0292, 0.848, 0.0176, 2
model-1578255966,1578256605.494,0.875, 0.0177, 0.904, 0.0124, 2
model-1578255966,1578256632.335,0.875, 0.0129, 0.887, 0.0139, 2
model-1578255966,1578256659.113,0.812, 0.0178, 0.891, 0.0143, 2
model-1578255966,1578256685.716,0.938, 0.0134, 0.885, 0.0154, 2
model-1578255966,1578256711.163,0.938, 0.0134, 0.881, 0.0149, 2
model-1578255966,1578256737.099,0.875, 0.0193, 0.906, 0.0111, 2
model-1578255966,1578256771.148,0.75, 0.0268, 0.914, 0.0113, 3
model-1578255966,1578256797.051,0.875, 0.0195, 0.898, 0.0126, 3
model-1578255966,1578256822.327,0.812, 0.0189, 0.902, 0.012, 3
model-1578255966,1578256848.013,0.75, 0.031, 0.902, 0.0114, 3
model-1578255966,1578256873.577,0.938, 0.0074, 0.889, 0.0136, 3
model-1578255966,1578256899.464,0.938, 0.006, 0.91, 0.0112, 3
model-1578255966,1578256924.662,0.812, 0.0204, 0.912, 0.0109, 3
model-1578255966,1578256950.945,1.0, 0.005, 0.93, 0.0092, 3
model-1578255966,1578256987.618,0.938, 0.0091, 0.926, 0.0081, 4
model-1578255966,1578257013.553,0.938, 0.0056, 0.936, 0.0084, 4
model-1578255966,1578257039.114,0.812, 0.0161, 0.926, 0.0084, 4
model-1578255966,1578257065.429,0.812, 0.0136, 0.908, 0.0103, 4
model-1578255966,1578257090.588,0.812, 0.0313, 0.949, 0.0061, 4
model-1578255966,1578257115.45,0.875, 0.0194, 0.926, 0.0087, 4
model-1578255966,1578257140.45,0.812, 0.0194, 0.936, 0.0083, 4
model-1578255966,1578257166.083,0.875, 0.0159, 0.914, 0.0101, 4
model-1578255966,1578257201.263,0.625, 0.045, 0.914, 0.0099, 5
model-1578255966,1578257227.252,1.0, 0.0055, 0.938, 0.0063, 5
model-1578255966,1578257252.831,0.938, 0.0111, 0.91, 0.0106, 5
model-1578255966,1578257278.594,0.812, 0.0295, 0.916, 0.0097, 5
model-1578255966,1578257303.962,0.75, 0.0271, 0.953, 0.0063, 5
model-1578255966,1578257329.798,0.938, 0.008, 0.93, 0.0086, 5
model-1578255966,1578257354.814,0.812, 0.0205, 0.91, 0.0105, 5
model-1578255966,1578257380.586,1.0, 0.0014, 0.924, 0.0091, 5
model-1578255966,1578257415.464,0.75, 0.031, 0.918, 0.0098, 6
model-1578255966,1578257440.701,0.938, 0.0071, 0.947, 0.0063, 6
model-1578255966,1578257466.613,0.812, 0.0135, 0.928, 0.0081, 6
model-1578255966,1578257492.2,1.0, 0.0054, 0.904, 0.0116, 6
model-1578255966,1578257518.254,0.875, 0.0123, 0.938, 0.0074, 6
model-1578255966,1578257544.257,0.938, 0.0118, 0.914, 0.0088, 6
model-1578255966,1578257569.202,0.875, 0.0156, 0.934, 0.0088, 6
model-1578255966,1578257595.029,1.0, 0.0025, 0.93, 0.0083, 6
model-1578255966,1578257636.48,0.938, 0.0065, 0.941, 0.0076, 7
model-1578255966,1578257662.466,0.875, 0.0176, 0.912, 0.0101, 7
model-1578255966,1578257688.934,0.812, 0.0163, 0.93, 0.008, 7
model-1578255966,1578257715.157,0.875, 0.0166, 0.924, 0.0088, 7
model-1578255966,1578257740.818,0.938, 0.0077, 0.951, 0.0063, 7
model-1578255966,1578257767.29,1.0, 0.0033, 0.928, 0.0086, 7
model-1578255966,1578257796.582,0.938, 0.0044, 0.943, 0.0061, 7
model-1578255966,1578257838.743,0.938, 0.0072, 0.945, 0.0069, 7
model-1578255966,1578257887.162,0.875, 0.008, 0.941, 0.007, 8
model-1578255966,1578257914.212,1.0, 0.0008, 0.945, 0.0064, 8
model-1578255966,1578257942.327,0.938, 0.0037, 0.955, 0.0059, 8
model-1578255966,1578257971.737,0.938, 0.005, 0.955, 0.0049, 8
model-1578255966,1578258001.487,0.875, 0.0144, 0.926, 0.0089, 8
model-1578255966,1578258032.163,0.938, 0.0068, 0.936, 0.0073, 8
model-1578255966,1578258068.768,0.875, 0.0202, 0.951, 0.0051, 8
model-1578255966,1578258116.995,0.938, 0.0101, 0.918, 0.0085, 8
model-1578255966,1578258172.312,1.0, 0.0013, 0.959, 0.0056, 9
model-1578255966,1578258200.06,1.0, 0.0028, 0.926, 0.0082, 9
model-1578255966,1578258229.413,1.0, 0.0031, 0.928, 0.0094, 9
model-1578255966,1578258258.837,0.75, 0.0279, 0.949, 0.0059, 9
model-1578255966,1578258287.741,0.938, 0.0106, 0.924, 0.0085, 9
model-1578255966,1578258319.34,0.938, 0.0109, 0.928, 0.0082, 9
model-1578255966,1578258359.509,0.938, 0.0058, 0.949, 0.0063, 9
model-1578255966,1578258412.972,0.75, 0.029, 0.949, 0.0064, 9
model-1578255966,1578258473.571,1.0, 0.0055, 0.932, 0.0079, 10
model-1578255966,1578258502.762,1.0, 0.0034, 0.949, 0.0055, 10
model-1578255966,1578258536.182,1.0, 0.0001, 0.934, 0.0073, 10
model-1578255966,1578258570.843,0.812, 0.0184, 0.953, 0.0051, 10
model-1578255966,1578258604.84,0.875, 0.0178, 0.957, 0.0053, 10
model-1578255966,1578258639.846,0.938, 0.0069, 0.949, 0.0061, 10
model-1578255966,1578258680.04,0.75, 0.0328, 0.961, 0.0051, 10
model-1578255966,1578258729.253,1.0, 0.0013, 0.922, 0.0093, 10
model-1578255966,1578258786.114,0.938, 0.0111, 0.939, 0.0072, 11
