model-1578064224,1578064289.556,0.067, 0.0707, 0.057, 0.072, 0
model-1578064224,1578064334.497,0.4, 0.0575, 0.251, 0.0677, 0
model-1578064224,1578064387.809,0.667, 0.0372, 0.505, 0.0509, 0
model-1578064224,1578064433.997,0.533, 0.0432, 0.578, 0.0451, 0
model-1578064224,1578064475.278,0.733, 0.0324, 0.611, 0.0429, 0
model-1578064224,1578064514.01,0.667, 0.0319, 0.702, 0.0334, 0
model-1578064224,1578064553.077,0.933, 0.0113, 0.718, 0.0318, 0
model-1578064224,1578064605.728,0.867, 0.0179, 0.775, 0.0259, 1
model-1578064224,1578064631.15,0.733, 0.0259, 0.805, 0.0244, 1
model-1578064224,1578064658.421,0.8, 0.0208, 0.833, 0.021, 1
model-1578064224,1578064691.357,0.867, 0.0209, 0.857, 0.0193, 1
model-1578064224,1578064727.306,0.867, 0.0207, 0.847, 0.0207, 1
model-1578064224,1578064761.839,0.8, 0.0287, 0.875, 0.0176, 1
model-1578064224,1578064798.966,0.8, 0.022, 0.876, 0.0169, 1
model-1578064224,1578064843.529,0.933, 0.0098, 0.842, 0.0206, 2
model-1578064224,1578064864.785,0.867, 0.0078, 0.901, 0.0145, 2
model-1578064224,1578064885.824,0.933, 0.0088, 0.912, 0.0141, 2
model-1578064224,1578064905.386,1.0, 0.0008, 0.918, 0.0124, 2
model-1578064224,1578064925.9,0.933, 0.0079, 0.909, 0.0134, 2
model-1578064224,1578064945.985,1.0, 0.0023, 0.871, 0.017, 2
model-1578064224,1578064966.088,1.0, 0.0027, 0.893, 0.0147, 2
model-1578064224,1578064991.501,1.0, 0.0013, 0.915, 0.012, 3
model-1578064224,1578065005.292,0.933, 0.0118, 0.884, 0.0155, 3
model-1578064224,1578065018.508,1.0, 0.003, 0.905, 0.0136, 3
model-1578064224,1578065031.745,1.0, 0.001, 0.9, 0.0143, 3
model-1578064224,1578065044.894,1.0, 0.0024, 0.922, 0.0118, 3
model-1578064224,1578065057.986,0.933, 0.0095, 0.897, 0.0142, 3
model-1578064224,1578065071.547,0.933, 0.012, 0.906, 0.0134, 3
model-1578064224,1578065090.83,0.867, 0.0183, 0.89, 0.0152, 4
model-1578064224,1578065103.882,0.867, 0.0147, 0.914, 0.0126, 4
model-1578064224,1578065116.988,0.933, 0.0093, 0.916, 0.0122, 4
model-1578064224,1578065130.393,0.867, 0.0155, 0.914, 0.0123, 4
model-1578064224,1578065143.565,0.8, 0.0218, 0.915, 0.0119, 4
model-1578064224,1578065156.847,1.0, 0.0001, 0.935, 0.0102, 4
model-1578064224,1578065170.577,1.0, 0.0001, 0.882, 0.016, 4
model-1578064224,1578065189.536,1.0, 0.0024, 0.916, 0.0121, 5
model-1578064224,1578065203.456,0.933, 0.0051, 0.918, 0.0119, 5
model-1578064224,1578065216.722,1.0, 0.0, 0.928, 0.0107, 5
model-1578064224,1578065229.802,1.0, 0.0008, 0.911, 0.0119, 5
model-1578064224,1578065242.997,0.867, 0.016, 0.939, 0.0097, 5
model-1578064224,1578065256.184,1.0, 0.0011, 0.918, 0.0122, 5
model-1578064224,1578065269.653,0.933, 0.0077, 0.93, 0.0104, 5
model-1578064224,1578065288.893,1.0, 0.001, 0.93, 0.0106, 6
model-1578064224,1578065302.057,0.933, 0.0107, 0.94, 0.0104, 6
model-1578064224,1578065315.116,0.933, 0.0073, 0.944, 0.0091, 6
model-1578064224,1578065328.562,1.0, 0.0023, 0.94, 0.0091, 6
model-1578064224,1578065345.248,0.867, 0.0107, 0.918, 0.012, 6
model-1578064224,1578065359.637,0.933, 0.0105, 0.925, 0.0108, 6
model-1578064224,1578065374.443,0.933, 0.0081, 0.94, 0.0095, 6
model-1578064224,1578065397.289,1.0, 0.0001, 0.923, 0.0109, 7
model-1578064224,1578065411.532,1.0, 0.0001, 0.93, 0.0099, 7
model-1578064224,1578065425.616,1.0, 0.001, 0.932, 0.0096, 7
model-1578064224,1578065439.949,1.0, 0.0001, 0.946, 0.0083, 7
model-1578064224,1578065455.227,1.0, 0.0002, 0.924, 0.011, 7
model-1578064224,1578065470.148,1.0, 0.0006, 0.931, 0.0098, 7
model-1578064224,1578065484.484,0.933, 0.008, 0.947, 0.009, 7
model-1578064224,1578065505.797,0.867, 0.0144, 0.922, 0.0109, 8
model-1578064224,1578065519.773,0.933, 0.0052, 0.944, 0.0086, 8
model-1578064224,1578065534.457,1.0, 0.0001, 0.945, 0.0087, 8
model-1578064224,1578065548.668,1.0, 0.0024, 0.94, 0.009, 8
model-1578064224,1578065562.928,0.867, 0.0142, 0.942, 0.0092, 8
model-1578064224,1578065577.377,0.933, 0.0104, 0.944, 0.0088, 8
model-1578064224,1578065592.203,0.933, 0.0064, 0.946, 0.0089, 8
model-1578064224,1578065612.621,0.933, 0.0074, 0.941, 0.0085, 9
model-1578064224,1578065626.387,1.0, 0.0018, 0.957, 0.0078, 9
model-1578064224,1578065640.843,1.0, 0.0016, 0.931, 0.0107, 9
model-1578064224,1578065655.366,1.0, 0.0009, 0.958, 0.0078, 9
model-1578064224,1578065669.779,1.0, 0.0, 0.964, 0.0071, 9
model-1578064224,1578065683.614,1.0, 0.0004, 0.952, 0.0082, 9
model-1578064224,1578065698.107,1.0, 0.0001, 0.939, 0.0098, 9
