model-1578051374,1578051388.551,0.133, 0.0704, 0.017, 0.0745, 0
model-1578051374,1578051401.637,0.2, 0.0645, 0.131, 0.0696, 0
model-1578051374,1578051413.673,0.4, 0.0494, 0.421, 0.0582, 0
model-1578051374,1578051425.795,0.667, 0.0365, 0.59, 0.0468, 0
model-1578051374,1578051438.083,0.733, 0.0342, 0.625, 0.0428, 0
model-1578051374,1578051450.156,0.667, 0.0289, 0.71, 0.0369, 0
model-1578051374,1578051470.442,0.867, 0.0202, 0.794, 0.0253, 1
model-1578051374,1578051482.567,0.667, 0.0383, 0.858, 0.0184, 1
model-1578051374,1578051494.557,0.867, 0.0141, 0.825, 0.0231, 1
model-1578051374,1578051507.644,0.933, 0.0128, 0.846, 0.0204, 1
model-1578051374,1578051519.733,0.867, 0.0155, 0.852, 0.0204, 1
model-1578051374,1578051531.559,0.933, 0.0114, 0.879, 0.0174, 1
model-1578051374,1578051552.031,1.0, 0.0027, 0.867, 0.0184, 2
model-1578051374,1578051564.166,0.933, 0.0081, 0.915, 0.0128, 2
model-1578051374,1578051576.503,0.933, 0.0073, 0.935, 0.0129, 2
model-1578051374,1578051588.683,0.933, 0.0096, 0.946, 0.0099, 2
model-1578051374,1578051600.743,0.933, 0.0077, 0.938, 0.0113, 2
model-1578051374,1578051612.831,0.933, 0.0102, 0.935, 0.0117, 2
model-1578051374,1578051633.222,0.933, 0.0064, 0.933, 0.0103, 3
model-1578051374,1578051645.411,0.933, 0.0081, 0.904, 0.0143, 3
model-1578051374,1578051657.385,0.8, 0.0172, 0.91, 0.0131, 3
model-1578051374,1578051669.418,1.0, 0.0001, 0.969, 0.0074, 3
model-1578051374,1578051681.645,0.933, 0.0109, 0.956, 0.0092, 3
model-1578051374,1578051691.994,1.0, 0.0013, 0.958, 0.0091, 3
