model-1574078224,1574078280.47,0.156, 0.0348, 0.175, 0.0341, 0
model-1574078224,1574078340.984,0.531, 0.0239, 0.664, 0.0188, 0
model-1574078224,1574078399.52,0.75, 0.014, 0.862, 0.0093, 0
model-1574078224,1574078456.953,0.906, 0.007, 0.938, 0.0049, 0
model-1574078224,1574078515.629,0.844, 0.0067, 0.957, 0.0042, 0
model-1574078224,1574078575.996,0.875, 0.0064, 0.965, 0.0037, 0
model-1574078224,1574078641.671,0.938, 0.0033, 0.983, 0.003, 1
model-1574078224,1574078701.833,0.906, 0.0034, 0.988, 0.0024, 1
model-1574078224,1574078757.997,1.0, 0.0006, 0.995, 0.0018, 1
model-1574078224,1574078814.944,0.969, 0.0023, 1.0, 0.0017, 1
model-1574078224,1574078872.254,1.0, 0.0004, 1.014, 0.0009, 1
model-1574078224,1574078930.095,0.969, 0.0016, 1.024, 0.0004, 1
model-1574078224,1574078989.807,1.0, 0.0001, 1.01, 0.0013, 2
model-1574078224,1574079046.757,0.938, 0.0038, 1.017, 0.0007, 2
model-1574078224,1574079101.895,1.0, 0.0009, 1.021, 0.0006, 2
model-1574078224,1574079158.959,0.969, 0.0023, 1.017, 0.0009, 2
model-1574078224,1574079216.258,1.0, 0.0003, 1.024, 0.0004, 2
model-1574078224,1574079275.576,1.0, 0.0005, 1.012, 0.0011, 2
model-1574078224,1574079334.482,1.0, 0.0, 1.022, 0.0005, 3
model-1574078224,1574079392.911,1.0, 0.0, 1.029, 0.0001, 3
model-1574078224,1574079450.625,1.0, 0.0, 0.976, 0.003, 3
model-1574078224,1574079507.9,0.969, 0.0017, 1.019, 0.0007, 3
model-1574078224,1574079565.693,0.969, 0.0018, 1.014, 0.001, 3
model-1574078224,1574079623.433,1.0, 0.0001, 1.015, 0.0012, 3
model-1574078224,1574079683.689,0.938, 0.0035, 1.017, 0.0008, 4
model-1574078224,1574079740.017,1.0, 0.0, 1.022, 0.0004, 4
model-1574078224,1574079797.261,1.0, 0.0001, 1.022, 0.0005, 4
model-1574078224,1574079857.849,1.0, 0.0001, 1.023, 0.0004, 4
model-1574078224,1574079915.517,1.0, 0.0, 1.019, 0.0008, 4
model-1574078224,1574079973.007,1.0, 0.0, 1.011, 0.001, 4
