model-1577987920,1577987940.306,0.8, 0.0391, 0.431, 0.0579, 0
model-1577987920,1577987958.142,1.0, 0.0079, 0.731, 0.0309, 0
model-1577987920,1577987977.423,1.0, 0.0088, 0.85, 0.021, 1
model-1577987920,1577987987.409,1.0, 0.012, 0.919, 0.0151, 1
model-1577987920,1577988002.158,1.0, 0.0013, 0.906, 0.0154, 2
model-1577987920,1577988011.414,0.8, 0.0321, 0.856, 0.0188, 2
model-1577987920,1577988025.646,0.8, 0.0186, 0.95, 0.0082, 3
model-1577987920,1577988035.051,1.0, 0.0, 0.944, 0.0114, 3
model-1577987920,1577988049.455,1.0, 0.0, 0.981, 0.0048, 4
model-1577987920,1577988058.749,1.0, 0.0, 1.019, 0.0015, 4
model-1577987920,1577988072.956,0.8, 0.0261, 0.875, 0.0204, 5
model-1577987920,1577988082.224,0.8, 0.0304, 0.956, 0.009, 5
model-1577987920,1577988097.534,1.0, 0.0, 1.0, 0.0039, 6
model-1577987920,1577988106.976,1.0, 0.0001, 0.994, 0.0038, 6
model-1577987920,1577988121.433,1.0, 0.0, 0.981, 0.0067, 7
model-1577987920,1577988130.787,1.0, 0.0, 0.981, 0.0068, 7
model-1577987920,1577988145.121,1.0, 0.0, 0.931, 0.0121, 8
model-1577987920,1577988154.454,1.0, 0.0007, 1.013, 0.0025, 8
model-1577987920,1577988168.87,1.0, 0.0, 0.931, 0.0117, 9
model-1577987920,1577988178.213,1.0, 0.0, 0.981, 0.0058, 9
model-1577987920,1577988192.746,1.0, 0.0, 1.006, 0.0028, 10
model-1577987920,1577988202.495,1.0, 0.0012, 0.888, 0.0174, 10
model-1577987920,1577988217.025,1.0, 0.0, 1.025, 0.001, 11
model-1577987920,1577988226.487,1.0, 0.0, 0.912, 0.015, 11
model-1577987920,1577988241.111,1.0, 0.0, 0.944, 0.0111, 12
model-1577987920,1577988250.861,1.0, 0.0, 0.806, 0.0307, 12
model-1577987920,1577988265.423,1.0, 0.0034, 0.981, 0.0073, 13
model-1577987920,1577988274.761,0.8, 0.0308, 0.875, 0.0232, 13
model-1577987920,1577988289.146,1.0, 0.0, 0.919, 0.0166, 14
model-1577987920,1577988298.765,1.0, 0.0, 1.013, 0.0025, 14
model-1577987920,1577988313.284,1.0, 0.0056, 0.963, 0.0092, 15
model-1577987920,1577988322.7,1.0, 0.0, 0.994, 0.0041, 15
