model-1578243458,1578243604.238,0.1, 0.071, 0.149, 0.0717, 0
model-1578243458,1578243719.629,0.2, 0.0688, 0.254, 0.0656, 0
model-1578243458,1578243802.365,0.367, 0.0592, 0.407, 0.0562, 0
model-1578243458,1578243887.002,0.233, 0.0697, 0.444, 0.0555, 0
model-1578243458,1578243976.376,0.333, 0.0545, 0.485, 0.0507, 0
model-1578243458,1578244064.421,0.5, 0.0436, 0.579, 0.0428, 0
model-1578243458,1578244153.633,0.733, 0.0324, 0.639, 0.0386, 0
model-1578243458,1578244241.521,0.633, 0.0334, 0.689, 0.0352, 0
model-1578243458,1578244327.637,0.633, 0.0384, 0.652, 0.039, 0
model-1578243458,1578244356.74,0.6, 0.0373, 0.705, 0.034, 1
model-1578243458,1578244384.718,0.767, 0.0289, 0.756, 0.0288, 1
model-1578243458,1578244412.401,0.567, 0.0426, 0.767, 0.028, 1
model-1578243458,1578244439.88,0.867, 0.0204, 0.779, 0.0268, 1
model-1578243458,1578244467.92,0.833, 0.0229, 0.816, 0.0239, 1
model-1578243458,1578244495.445,0.767, 0.0259, 0.803, 0.024, 1
model-1578243458,1578244524.195,0.867, 0.0164, 0.823, 0.0224, 1
model-1578243458,1578244554.062,0.733, 0.0267, 0.87, 0.0193, 1
model-1578243458,1578244589.571,0.767, 0.0272, 0.832, 0.0228, 1
model-1578243458,1578244614.948,0.8, 0.0237, 0.815, 0.024, 2
model-1578243458,1578244640.245,0.733, 0.0273, 0.856, 0.0197, 2
model-1578243458,1578244666.049,0.833, 0.0243, 0.842, 0.0215, 2
model-1578243458,1578244691.408,0.9, 0.0159, 0.836, 0.0217, 2
model-1578243458,1578244716.851,0.8, 0.0229, 0.836, 0.0213, 2
model-1578243458,1578244741.904,0.833, 0.018, 0.859, 0.0203, 2
model-1578243458,1578244766.417,0.733, 0.0285, 0.861, 0.0199, 2
model-1578243458,1578244791.185,0.833, 0.0247, 0.898, 0.0154, 2
model-1578243458,1578244815.545,0.767, 0.0252, 0.869, 0.0182, 2
model-1578243458,1578244840.213,0.833, 0.0161, 0.882, 0.0165, 3
model-1578243458,1578244865.042,0.767, 0.0224, 0.891, 0.0158, 3
model-1578243458,1578244889.37,0.867, 0.0154, 0.892, 0.016, 3
model-1578243458,1578244913.819,0.967, 0.0051, 0.92, 0.0134, 3
model-1578243458,1578244938.391,0.9, 0.0166, 0.855, 0.0197, 3
model-1578243458,1578244962.644,0.767, 0.0247, 0.892, 0.0162, 3
model-1578243458,1578244987.615,0.867, 0.0141, 0.9, 0.0147, 3
model-1578243458,1578245011.613,0.9, 0.0093, 0.919, 0.0131, 3
model-1578243458,1578245036.023,0.867, 0.0117, 0.927, 0.0124, 3
model-1578243458,1578245060.811,0.833, 0.019, 0.905, 0.0137, 4
model-1578243458,1578245084.899,0.8, 0.0244, 0.852, 0.0186, 4
model-1578243458,1578245109.183,0.833, 0.0173, 0.918, 0.0128, 4
model-1578243458,1578245133.38,0.767, 0.0248, 0.914, 0.014, 4
model-1578243458,1578245157.436,0.7, 0.0325, 0.924, 0.0129, 4
model-1578243458,1578245182.029,0.867, 0.0134, 0.925, 0.0119, 4
model-1578243458,1578245206.727,1.0, 0.0047, 0.928, 0.0118, 4
model-1578243458,1578245231.643,0.9, 0.0105, 0.939, 0.0108, 4
model-1578243458,1578245258.582,0.867, 0.0105, 0.925, 0.0126, 4
model-1578243458,1578245283.698,0.9, 0.0127, 0.919, 0.0124, 5
model-1578243458,1578245308.814,0.833, 0.0182, 0.904, 0.0151, 5
model-1578243458,1578245333.931,0.867, 0.0164, 0.932, 0.0112, 5
model-1578243458,1578245359.076,0.933, 0.0127, 0.911, 0.013, 5
model-1578243458,1578245384.251,0.933, 0.0079, 0.905, 0.0148, 5
model-1578243458,1578245409.653,0.967, 0.0047, 0.938, 0.0109, 5
model-1578243458,1578245434.776,0.867, 0.0219, 0.903, 0.0138, 5
model-1578243458,1578245460.436,0.933, 0.0076, 0.929, 0.0114, 5
model-1578243458,1578245485.239,0.833, 0.0173, 0.923, 0.0125, 5
model-1578243458,1578245511.074,0.9, 0.0122, 0.917, 0.0126, 6
model-1578243458,1578245536.308,0.933, 0.0077, 0.927, 0.0121, 6
model-1578243458,1578245561.067,0.867, 0.0156, 0.935, 0.0109, 6
model-1578243458,1578245587.264,0.933, 0.008, 0.923, 0.0117, 6
model-1578243458,1578245613.295,0.9, 0.0136, 0.929, 0.0114, 6
model-1578243458,1578245639.029,0.833, 0.0138, 0.911, 0.0133, 6
model-1578243458,1578245664.583,0.9, 0.0129, 0.929, 0.0115, 6
model-1578243458,1578245689.771,0.867, 0.022, 0.92, 0.0125, 6
model-1578243458,1578245715.454,1.0, 0.0018, 0.918, 0.0133, 6
model-1578243458,1578245740.173,0.967, 0.0057, 0.922, 0.0126, 7
model-1578243458,1578245765.081,0.9, 0.0151, 0.927, 0.0117, 7
model-1578243458,1578245789.789,0.933, 0.0065, 0.923, 0.013, 7
model-1578243458,1578245814.509,0.767, 0.0233, 0.936, 0.0113, 7
model-1578243458,1578245839.704,0.9, 0.0121, 0.933, 0.0112, 7
model-1578243458,1578245880.267,0.967, 0.007, 0.92, 0.0129, 7
model-1578243458,1578245923.299,0.867, 0.0172, 0.941, 0.0107, 7
model-1578243458,1578245986.926,0.833, 0.0144, 0.912, 0.0146, 7
model-1578243458,1578246077.881,0.967, 0.0068, 0.942, 0.0098, 7
model-1578243458,1578246118.117,0.933, 0.007, 0.945, 0.0103, 8
model-1578243458,1578246156.51,1.0, 0.0011, 0.899, 0.0149, 8
model-1578243458,1578246196.587,0.967, 0.0053, 0.899, 0.0156, 8
model-1578243458,1578246237.141,1.0, 0.0037, 0.929, 0.0122, 8
model-1578243458,1578246280.514,0.833, 0.0115, 0.942, 0.0109, 8
model-1578243458,1578246325.447,1.0, 0.0042, 0.945, 0.0104, 8
model-1578243458,1578246373.683,0.967, 0.0037, 0.91, 0.0134, 8
model-1578243458,1578246434.415,0.933, 0.0061, 0.94, 0.0109, 8
model-1578243458,1578246500.357,0.9, 0.0148, 0.95, 0.0096, 8
model-1578243458,1578246527.656,0.867, 0.0168, 0.956, 0.0088, 9
model-1578243458,1578246554.543,0.967, 0.0061, 0.939, 0.0104, 9
model-1578243458,1578246580.409,0.867, 0.0137, 0.929, 0.0119, 9
model-1578243458,1578246606.149,0.967, 0.0074, 0.947, 0.01, 9
model-1578243458,1578246631.672,0.8, 0.0147, 0.95, 0.0093, 9
model-1578243458,1578246656.993,0.967, 0.0076, 0.966, 0.0077, 9
model-1578243458,1578246682.116,0.9, 0.0091, 0.932, 0.0116, 9
model-1578243458,1578246707.046,0.967, 0.009, 0.942, 0.0103, 9
model-1578243458,1578246731.547,0.933, 0.0052, 0.943, 0.0104, 9
model-1578247588,1578247676.516,1.0, 0.0004, 0.994, 0.0053, 4
model-1578247588,1578247768.29,0.967, 0.0047, 0.991, 0.0045, 4
model-1578247588,1578247861.268,0.933, 0.0048, 0.969, 0.0074, 4
model-1578247588,1578247952.583,0.967, 0.003, 0.989, 0.0045, 4
model-1578247588,1578248041.615,0.933, 0.0061, 0.99, 0.0047, 4
model-1578247588,1578248130.148,1.0, 0.0009, 0.998, 0.0036, 4
model-1578247588,1578248215.377,0.967, 0.002, 0.994, 0.0048, 4
model-1578247588,1578248297.621,1.0, 0.0012, 0.992, 0.0046, 4
model-1578247588,1578248380.33,0.967, 0.0032, 0.999, 0.0039, 4
model-1578247588,1578248410.056,1.0, 0.0011, 0.995, 0.0048, 5
model-1578247588,1578248438.248,1.0, 0.0024, 1.009, 0.0023, 5
model-1578247588,1578248467.622,0.933, 0.0086, 0.991, 0.0043, 5
model-1578247588,1578248496.213,0.9, 0.0121, 1.007, 0.0032, 5
model-1578247588,1578248525.921,0.967, 0.003, 0.995, 0.0043, 5
model-1578247588,1578248557.676,0.933, 0.0063, 0.992, 0.0048, 5
model-1578247588,1578248590.746,0.933, 0.0057, 0.993, 0.0045, 5
model-1578247588,1578248629.822,0.967, 0.0021, 1.001, 0.0035, 5
model-1578247588,1578248685.767,0.967, 0.0077, 0.994, 0.0045, 5
model-1578247588,1578248714.251,0.933, 0.0037, 0.991, 0.0048, 6
model-1578247588,1578248741.706,1.0, 0.0007, 1.001, 0.0035, 6
model-1578247588,1578248769.615,0.967, 0.0026, 1.004, 0.0032, 6
model-1578247588,1578248797.616,0.967, 0.0039, 1.008, 0.0031, 6
model-1578247588,1578248824.468,0.967, 0.0041, 1.003, 0.0035, 6
model-1578247588,1578248852.413,1.0, 0.0001, 1.007, 0.0028, 6
model-1578247588,1578248882.871,1.0, 0.0012, 1.003, 0.0029, 6
model-1578247588,1578248916.038,0.967, 0.0021, 1.012, 0.0024, 6
model-1578247588,1578248965.912,1.0, 0.0025, 0.999, 0.0037, 6
model-1578247588,1578248994.008,1.0, 0.0008, 1.006, 0.003, 7
model-1578247588,1578249020.19,0.9, 0.0111, 1.0, 0.0036, 7
model-1578247588,1578249047.246,1.0, 0.0001, 1.006, 0.0032, 7
model-1578247588,1578249074.148,0.967, 0.0052, 1.005, 0.0032, 7
model-1578247588,1578249101.427,0.967, 0.0026, 1.012, 0.0027, 7
model-1578247588,1578249130.229,0.967, 0.0026, 1.003, 0.0035, 7
model-1578247588,1578249159.702,1.0, 0.0007, 1.01, 0.0023, 7
model-1578247588,1578249192.413,1.0, 0.001, 0.998, 0.004, 7
model-1578247588,1578249240.503,1.0, 0.0003, 1.009, 0.0032, 7
model-1578249458,1578249493.077,1.0, 0.0001, 0.983, 0.0021, 8
model-1578249458,1578249525.464,0.933, 0.0069, 0.956, 0.0054, 8
model-1578249458,1578249561.066,0.967, 0.0052, 0.976, 0.0029, 8
model-1578249458,1578249598.032,1.0, 0.0001, 0.977, 0.0029, 8
model-1578249458,1578249636.674,1.0, 0.0006, 0.979, 0.0027, 8
model-1578249458,1578249678.372,1.0, 0.0003, 0.982, 0.0024, 8
model-1578249458,1578249727.721,1.0, 0.0, 0.981, 0.0021, 8
model-1578249458,1578249792.891,1.0, 0.0001, 0.981, 0.0024, 8
model-1578249458,1578249874.992,0.967, 0.0036, 0.985, 0.0019, 8
model-1578249458,1578249905.066,0.967, 0.0017, 0.986, 0.0015, 9
model-1578249458,1578249935.618,1.0, 0.0001, 0.982, 0.0021, 9
model-1578249458,1578249966.597,1.0, 0.0001, 0.977, 0.0026, 9
model-1578249458,1578249998.328,1.0, 0.0001, 0.981, 0.0024, 9
model-1578249458,1578250031.936,1.0, 0.0003, 0.984, 0.0019, 9
model-1578249458,1578250067.922,0.967, 0.0021, 0.985, 0.0018, 9
model-1578249458,1578250107.524,1.0, 0.0002, 0.976, 0.0027, 9
model-1578249458,1578250154.592,1.0, 0.0001, 0.977, 0.0029, 9
model-1578249458,1578250226.29,1.0, 0.0004, 0.989, 0.0016, 9
model-1578249458,1578250257.002,0.967, 0.0017, 0.981, 0.0023, 10
model-1578249458,1578250286.699,1.0, 0.0011, 0.982, 0.0025, 10
model-1578249458,1578250317.279,1.0, 0.0004, 0.979, 0.0021, 10
model-1578249458,1578250353.125,1.0, 0.0001, 0.982, 0.0024, 10
model-1578249458,1578250391.73,1.0, 0.0, 0.98, 0.0026, 10
model-1578249458,1578250435.839,1.0, 0.0001, 0.986, 0.002, 10
model-1578249458,1578250486.98,1.0, 0.0, 0.984, 0.002, 10
model-1578249458,1578250552.447,1.0, 0.0, 0.983, 0.0021, 10
model-1578249458,1578250635.622,0.967, 0.0046, 0.989, 0.0017, 10
model-1578249458,1578250670.483,1.0, 0.0002, 0.992, 0.0013, 11
model-1578249458,1578250704.749,1.0, 0.0, 0.986, 0.0017, 11
model-1578249458,1578250740.317,1.0, 0.0002, 0.981, 0.0025, 11
model-1578249458,1578250778.822,0.967, 0.005, 0.982, 0.0022, 11
model-1578249458,1578250817.544,0.933, 0.0102, 0.975, 0.0029, 11
model-1578249458,1578250861.512,0.967, 0.0036, 0.986, 0.0018, 11
model-1578249458,1578250904.082,0.967, 0.0022, 0.983, 0.002, 11
model-1578249458,1578250950.07,1.0, 0.0, 0.984, 0.0018, 11
model-1578249458,1578251021.41,1.0, 0.0, 0.986, 0.0018, 11
