model-1578001713,1578001739.257,0.733, 0.0323, 0.652, 0.041, 0
model-1578001713,1578001769.544,0.933, 0.0068, 0.9, 0.0148, 1
model-1578001713,1578001799.717,0.867, 0.0098, 0.923, 0.0135, 2
model-1578001713,1578001829.992,1.0, 0.0, 0.95, 0.0093, 3
model-1578001713,1578001859.942,0.933, 0.0093, 0.948, 0.0107, 4
model-1578001713,1578001890.29,1.0, 0.0013, 0.956, 0.0081, 5
model-1578001713,1578001920.346,0.867, 0.0079, 0.933, 0.0115, 6
model-1578001713,1578001950.908,1.0, 0.0, 0.971, 0.0066, 7
model-1578001713,1578001981.282,0.933, 0.0102, 0.973, 0.0071, 8
model-1578001713,1578002012.783,1.0, 0.0002, 0.983, 0.0054, 9
model-1578002611,1578002635.938,0.733, 0.0307, 0.783, 0.0288, 0
